ID_src,ID_dst,dist
AK0039,AK0127,2.981829042342033
AK0047,AK0126,9.195068941445376
AK0126,AK0047,9.195068941445376
AK0070,AK0055,13.79700868590375
AK0055,AK0078,17.475246061601627
AK0078,AK0055,17.475246061601627
AK0072,AK0103,7.312646225918634
AL0005,AL0002,18.252474883766045
AL0090,AL0009,18.855728922238445
AL0009,AL0096,15.386670931054546
AL0012,AL0017,8.879078041830361
AL0017,AL0012,8.879078041830361
AL0015,AL0013,15.282164550132732
AL0133,AL0015,15.294421288667552
AL0015,AL0136,12.807974942742197
AL0136,AL0015,12.807974942742197
AL0020,AL0016,19.18302146798641
AL0148,AL0016,15.166434122336161
AL0016,AL0204,15.605339897049092
AL0016,AL0238,19.387700391180108
AL0247,AL0016,17.686974623824298
AL0019,AL0154,5.311548490363377
AL0019,AL0246,1.4094530254157969
AL0019,AL0247,14.087854091291033
AL0020,AL0247,17.30755133600587
AL0025,AL0023,16.034829206691537
AL0026,AL0023,18.39028428071022
AL0023,AL0029,15.77786278335044
AL0024,AL0031,17.33826525252579
AL0025,AL0029,19.275184910517794
AL0029,AL0025,19.275184910517794
AL0025,AL0034,17.5026100153245
AL0026,AL0031,16.548054046033055
AL0032,AL0026,13.800110301462864
AL0026,AL0211,16.639567345576406
AL0211,AL0026,16.639567345576406
AL0029,AL0030,9.814275519353638
AL0030,AL0033,14.553151906151689
AL0031,AL0032,6.9804301298268765
AL0031,AL0211,17.543068619812303
AL0032,AL0211,10.580986323195908
AL0211,AL0032,10.580986323195908
AL0038,AL0044,15.516967562558975
AL0040,AL0043,17.453873169596957
AL0040,AL0046,19.414583599641904
AL0046,AL0040,19.414583599641904
AL0041,AL0211,13.87338828961164
AL0211,AL0041,13.87338828961164
AL0043,AL0047,9.861793589833168
AL0051,AL0049,16.42019037661896
AL0052,AL0053,9.819659502285626
AL0057,AL0054,16.062169083542496
AL0187,AL0054,12.817824856791166
AL0192,AL0054,10.26319338913577
AL0245,AL0056,18.067907455747818
AL0057,AL0245,19.489742944021284
AL0059,AL0060,7.904559965013908
AL0059,AL0061,17.584160735543094
AL0059,AL0062,7.094454080073343
AL0062,AL0059,7.094454080073343
AL0064,AL0059,5.165161771375218
AL0190,AL0059,13.611796893871645
AL0060,AL0061,16.45566584220487
AL0062,AL0060,5.380708426098196
AL0060,AL0064,2.8075085343426185
AL0064,AL0060,2.8075085343426185
AL0062,AL0061,11.723838164417927
AL0061,AL0064,16.926919535665668
AL0061,AL0190,17.69532902007552
AL0061,AL0253,11.228448537220691
AL0064,AL0062,5.209720487287777
AL0190,AL0062,15.872523761852259
AL0191,AL0063,17.602429871602574
AL0063,AL0216,16.84253199232099
AL0063,AL0253,17.362249562784395
AL0190,AL0064,17.96439972397443
AL0065,AL0068,11.060099377658755
AL0068,AL0065,11.060099377658755
AL0066,AL0068,19.21355063741582
AL0067,AL0069,10.864032624725304
AL0067,AL0193,17.540687658501597
AL0068,AL0074,11.060099377658755
AL0072,AL0071,15.95043962627396
AL0078,AL0077,18.4936383687964
AL8007,AL0077,12.08993826767952
AL0078,AL0217,19.327010109086665
AL0217,AL0078,19.327010109086665
AL0225,AL0078,8.930192280114243
AL0078,AL0239,12.892632465484162
AL0078,AL8007,9.934014789372018
AL8007,AL0078,9.934014789372018
AL0080,AL0081,19.523622309662922
AL0082,AL0080,17.891155046208166
AL0083,AL0080,16.44291997985892
AL0080,AL0085,8.435799771306021
AL0080,AL0086,3.4099874622820048
AL0087,AL0080,0.41752184409079235
AL0243,AL0080,7.215483535325807
AL0252,AL0080,16.992901412314904
AL0081,AL0082,10.576819571986812
AL0085,AL0081,14.570890330995661
AL0081,AL0086,16.773764592193196
AL0081,AL0087,19.73504930667938
AL0087,AL0081,19.73504930667938
AL0081,AL0186,15.911420101152745
AL0186,AL0081,15.911420101152745
AL0082,AL0085,17.795054930323417
AL0085,AL0082,17.795054930323417
AL0086,AL0082,14.481492199826468
AL0082,AL0087,18.26207501665544
AL0087,AL0082,18.26207501665544
AL0243,AL0082,19.51759646153393
AL0252,AL0082,18.120056171322062
AL0083,AL0086,16.908578083380508
AL0083,AL0087,16.623214923207076
AL0088,AL0083,14.936656636859317
AL0083,AL0222,16.078746325871293
AL0222,AL0083,16.078746325871293
AL0083,AL0243,9.228557724436218
AL0252,AL0083,8.720462550517723
AL0085,AL0086,8.322673798460466
AL0086,AL0085,8.322673798460466
AL0085,AL0087,8.349443673391336
AL0087,AL0085,8.349443673391336
AL0085,AL0243,15.560911343998214
AL0087,AL0086,3.786977919591951
AL0086,AL0243,8.046988063062821
AL0243,AL0086,8.046988063062821
AL0086,AL0252,15.673202881771072
AL0087,AL0243,7.406015344845559
