Library ID,Submission Year,Library Name,Street Address,City,State,Longitude,Latitude
AK0039,2015,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,AK,-131.650729,55.352711
AK0047,2015,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,AK,-156.6675022,58.6820703
AK0055,2015,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,AK,-149.113048,61.59996700000001
AK0070,2015,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,11301 NORTH CHICKALOON WAY,SUTTON,AK,-148.97716100000002,61.705952
AK0072,2015,TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,AK,-150.10809730000003,62.3215917
AK0078,2015,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,AK,-149.441482,61.583125
AK0103,2015,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,AK,-150.246221,62.3072213
AK0126,2015,IGIUGIG TRIBAL LIBRARY,1 AIRPORT WAY,IGIUGIG,AK,-156.57377,58.748920999999996
AK0127,2015,COFFMAN COVE COMMUNITY LIBRARY,108 NW DENALI ALLEY,COFFMAN COVE,AK,-131.69728999999998,55.357009
AL0002,2015,ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,AL,-87.22343740000001,34.050051200000006
AL0005,2015,DOUBLE SPRINGS PUBLIC LIBRARY,637 BLAKE DRIVE,DOUBLE SPRINGS,AL,-87.3833998,34.1469989
AL0009,2015,SUMITON PUBLIC LIBRARY,416 STATE STREET,SUMITON,AL,-87.0495275,33.749576899999994
AL0012,2015,ASHLAND CITY PUBLIC LIBRARY,11 2ND AVENUE NORTH,ASHLAND,AL,-85.837242,33.274741
AL0013,2015,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,AL,-86.2507305,33.1718114
AL0015,2015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,AL,-86.3556694,33.2775588
AL0016,2015,LINCOLN PUBLIC LIBRARY,49 COMPLEX DRIVE,LINCOLN,AL,-86.1235871,33.604488700000005
AL0017,2015,LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,AL,-85.7544585,33.3145941
AL0019,2015,OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET,OXFORD,AL,-85.8355168,33.6097203
AL0020,2015,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,202 SOUTH STREET EAST,TALLADEGA,AL,-86.0997635,33.4331188
AL0023,2015,ARITON - DOT LANEY MEMORIAL LIBRARY,30 WEST MAIN STREET,ARITON,AL,-85.7194125,31.600187899999995
