max_temperature_f,mean_temperature_f,min_temperature_f,max_humidity,mean_humidity,min_humidity,precipitation_inches,date
78.6,70.4,62.8,88.8,73.2,53.0,0.0,2013-08-29
84.6,73.0,62.4,90.8,68.8,42.4,0.0,2013-08-30
76.4,68.0,59.8,88.2,70.8,51.6,0.0,2013-08-31
79.2,70.0,61.0,83.4,66.8,44.4,0.0,2013-09-01
77.4,70.8,64.6,85.8,74.0,58.8,0.0,2013-09-02
78.0,68.8,59.6,83.4,64.2,39.4,0.342,2013-09-03
77.8,68.6,59.2,84.2,67.2,44.4,0.0,2013-09-04
77.2,68.0,59.0,83.4,65.8,43.6,0.0,2013-09-05
88.2,72.0,55.6,83.2,57.2,28.4,0.0,2013-09-06
92.6,76.2,60.6,77.6,52.8,23.2,0.0,2013-09-07
81.6,70.0,59.4,85.8,66.8,41.8,0.0,2013-09-08
83.8,71.4,59.4,87.2,67.6,37.6,0.0,2013-09-09
78.4,69.2,60.2,88.0,70.4,49.4,0.0,2013-09-10
75.6,67.2,59.0,80.6,67.8,52.2,0.0,2013-09-11
74.0,67.2,60.6,83.6,73.2,59.2,0.0,2013-09-12
71.8,65.6,59.2,86.2,75.0,59.4,0.0,2013-09-13
69.6,63.8,57.8,86.8,75.4,64.0,0.0,2013-09-14
76.8,67.2,57.8,86.0,71.2,50.0,0.0,2013-09-15
77.6,68.6,60.2,89.4,71.2,47.2,0.0,2013-09-16
72.6,65.0,57.4,81.8,64.6,44.8,0.0,2013-09-17
81.8,67.6,54.4,80.4,59.4,31.4,0.0,2013-09-18
84.4,68.6,53.4,80.0,56.8,29.2,0.0,2013-09-19
75.8,65.8,55.6,84.4,68.8,52.8,0.0,2013-09-20
68.8,63.4,57.6,89.8,76.6,60.4,0.35,2013-09-21
72.0,62.6,53.2,92.0,71.4,45.4,0.002,2013-09-22
80.2,67.4,54.6,82.4,64.2,42.2,0.0,2013-09-23
74.0,66.0,53.2,83.4,64.0,41.6,0.0,2013-09-24
69.0,62.0,55.4,78.6,60.2,40.6,0.0,2013-09-25
74.0,62.8,51.8,72.6,50.8,25.4,0.0,2013-09-26
78.4,64.0,50.2,74.4,48.6,21.8,0.0,2013-09-27
80.4,65.8,51.2,81.0,55.4,24.0,0.0,2013-09-28
